Departamento,Municipio,C10,C16,CMN,CA,TA, P10 , P16 , PDB10 , PDB16 , Superficie ,PCF10,PCF16
Alta Verapaz,Cobán,106058,104446,1612,268,0.25,215796.3261,269555.6732,4914.726859,3874.746866,226594.8648,46.80512072,46.09371889, 
Alta Verapaz,Santa Cruz Verapaz,2950,3065,-115,-23,-0.79,33138.20364,45419.75759,890.2111991,674.8164593,7799.673658,37.82209525,39.29651591,
Alta Verapaz,San Cristóbal Verapaz,14665,14178,487,99,0.67,57657.35432,67216.16566,2543.474319,2109.314011,38417.76639,38.17244306,36.90480039,
Alta Verapaz,Tactic,2901,3290,-389,-79,-2.72,33255.20436,39198.15742,872.3446617,839.3251664,11636.34781,24.93050265,28.27347595,
Alta Verapaz,Tamahú,2156,2308,-152,-31,-1.43,18650.11461,23075.10167,1156.025067,1000.212278,6987.466066,30.85524823,33.03057186,
Alta Verapaz,Tucurú,4549,4932,-383,-77,-1.69,39055.24,46412.34532,1164.760478,1062.648303,21900.6117,20.77110933,22.51991893,
Alta Verapaz,Panzós,21176,24351,-3175,-636,-3,56999.35028,64738.7444,3715.130067,3761.426056,72890.07668,29.0519656,33.40783974,
Alta Verapaz,Senahú,15939,17793,-1853,-371,-2.33,65123.4002,71281.10734,2447.50734,2496.173343,70525.49678,22.60033708,25.22917358,
Alta Verapaz,San Pedro Carchá,31105,30799,306,62,0.2,207755.2767,249699.4971,1497.194223,1233.442612,131397.01,23.67253257,23.43965056,
Alta Verapaz,San Juan Chamelco,4735,4328,407,70,1.47,54423.33445,65298.15055,870.0312188,662.8059085,18686.2616,25.33947186,23.1614011,
Alta Verapaz,Lanquín,4949,5769,-819,-166,-3.36,23128.14213,27765.19263,2139.817359,2077.78137,23609.33773,20.962045,24.43524704,
Alta Verapaz,Cahabón,24020,25153,-1133,-213,-0.89,56891.34961,66150.29547,4222.082999,3802.401761,76026.29596,31.59433153,33.08460537,
Alta Verapaz,Chisec,45849,44773,1076,180,0.39,63570,75553,7212.364323,5926.038675,109863.3285,41.73276074,40.75336205,
Alta Verapaz,Chahal,19248,16422,2826,498,2.59,24493.15052,30096.24584,7858.523544,5456.494504,46045.32343,41.8022908,35.6648597,
Alta Verapaz,Fray Bartolomé de Las Casas,45885,42593,3292,588,1.28,60777.37349,71927.3539,7549.684589,5921.669253,121297.5176,37.82847408,35.11448614,
Alta Verapaz,Santa Catalina La Tinta,7216,7802,-586,-117,-1.63,36519.22442,42966.61787,1975.945578,1815.828284,19724.40148,36.58412655,39.55506587,
Alta Verapaz,Raxruhá,19197,17916,1280,214,1.12,31709,37685,6054.117128,4754.146212,60265.52899,31.85403052,29.7284373,
Baja Verapaz,Salamá,21925,21029,896,160,0.73,54398.52702,60748.92838,4030.440014,3461.624849,67474.59898,32.49370923,31.16580212,
Baja Verapaz,San Miguel Chicaj,5030,3607,1423,260,5.16,27122.26276,30572.00176,1854.565028,1179.837692,32693.62942,15.38526034,11.03273042,
Baja Verapaz,Rabinal,10318,7223,3095,553,5.36,35124.34029,38744.79268,2937.56407,1864.250523,31171.38893,33.10086702,23.17189014,
Baja Verapaz,Cubulco,26807,22377,4430,791,2.95,58247.56431,71047.71733,4602.252526,3149.573391,69123.87505,38.78110129,32.37231707,
Baja Verapaz,Granados,3103,5263,-2160,-369,-11.89,11253.10902,11526.55058,2757.460178,4565.98005,15449.67398,20.08456621,34.06544376,
Baja Verapaz,El Chol,2605,3236,-632,-106,-4.08,9004.087233,9605.200994,2893.130567,3369.008105,11914.02576,21.86498545,27.16126408,
Baja Verapaz,San Jerónimo,10272,9327,946,173,1.68,21653.20978,25271.33864,4743.869433,3690.742359,22162.72735,46.34808631,42.08417066,
Baja Verapaz,Purulhá,20169,19710,458,92,0.46,47215.45743,59646.31067,4271.694292,3304.479318,51681.22182,39.02578014,38.13764324,
Chimaltenango,Chimaltenango,1891,1970,-79,-14,-0.71,114439.5367,146888.8713,165.2400957,134.1149934,4904.417236,38.55707843,40.16787123,
Chimaltenango,San José Poaquil,2203,3358,-1155,-197,-8.96,23639.31743,25885.67528,931.922001,1297.242573,9650.718985,22.82731477,34.79533499,
Chimaltenango,San Martín Jilotepeque,10094,12827,-2734,-467,-4.63,72981.98,82389.11496,1383.081139,1556.880421,40970.35484,24.63732628,31.30800319,
Chimaltenango,Comalapa,3068,3756,-688,-118,-3.83,42225.56701,46428.81344,726.5740208,808.9803985,8568.001783,35.80764895,43.83752589,
Chimaltenango,Santa Apolonia,1724,2237,-513,-88,-5.09,15527.2085,18053.26706,1110.309042,1239.1109,4610.811803,37.39037882,48.51640222,
Chimaltenango,Tecpán Guatemala,9768,11447,-1679,-287,-2.94,81091.08889,96210.5604,1204.57132,1189.786231,24773.00981,39.43000902,46.2075464,
Chimaltenango,Patzún,8820,8916,-96,-16,-0.18,51405.69028,57164.58385,1715.763362,1559.706972,18406.69865,47.91733797,48.43888723,
Chimaltenango,Pochuta,4338,4956,-618,-105,-2.42,11170.14999,11938.64287,3883.564681,4151.225609,12942.93372,33.51635798,38.29116417,
Chimaltenango,Patzicía,1627,1782,-156,-26,-1.62,32181.43213,38526.26796,505.5710365,462.5415578,6469.175252,25.15003747,27.54601523,
Chimaltenango,Santa Cruz Balanyá,421,433,-12,-2,-0.48,7740.103934,8504.422241,543.9203447,509.1468741,1979.738965,21.2654298,21.87157032,
Chimaltenango,Acatenango,3242,3048,194,33,1.01,21814.29292,23964.8613,1486.181565,1271.862149,13088.07174,24.77064662,23.28838091,
Chimaltenango,Yepocapa,7372,7155,218,37,0.5,30521.40984,35308.08587,2415.353694,2026.448,20532.28735,35.9044264,34.84755438,
Chimaltenango,San Andrés Itzapa,3152,3110,42,7,0.22,30430.40862,37425.65292,1035.806006,830.9808265,6760.448721,46.62412408,46.00286354,
Chimaltenango,Parramos,640,672,-32,-6,-0.86,14572.19568,18581.64002,439.1925652,361.6473031,2941.530742,21.75737927,22.84524824,
Chimaltenango,Zaragoza,1846,1885,-39,-7,-0.36,23960.32174,28219.02143,770.4404056,667.989145,5187.816882,35.58336854,36.33512984,
Chimaltenango,El Tejar,1117,1070,47,8,0.71,22068.29633,28890.94841,506.1559729,370.3582121,4551.980369,24.53877015,23.50625251,
Chiquimula,Chiquimula,2075,2316,-240,-48,-2.34,91951.19856,102620.1581,225.6631814,225.686653,35247.32734,5.886971174,6.570710959,
Chiquimula,San José La Arada,1047,768,278,56,5.36,8081.105335,8669.465972,1295.614841,885.8677137,11530.44329,9.08031004,6.660628568,
Chiquimula,San Juan Ermita,304,499,-196,-40,-13.06,13108.17086,14242.4842,231.9164155,350.3602272,8047.647176,3.777501589,6.200570043,
Chiquimula,Jocotán,1107,1822,-715,-122,-11.03,53959.70335,65249.83513,205.1530923,279.234422,25099.036,4.410527959,7.259242946,
Chiquimula,Camotán,2075,2463,-388,-78,-3.77,48439.6314,59050.15035,428.3682473,417.103087,23038.66049,9.006600017,10.69072571,
Chiquimula,Olopa,945,683,261,53,5.58,22993.29971,27444.2684,410.9892933,248.8679932,11210.41794,8.42965896,6.092547164,
Chiquimula,Esquipulas,6563,7224,-662,-133,-2.03,53200.69346,63023.62759,1233.630536,1146.236781,50058.12365,13.1107591,14.43122409,
Chiquimula,Concepción Las Minas,4021,4483,-462,-93,-2.31,12853.16754,13754.65217,3128.411723,3259.2609,21479.37893,18.72028057,20.87118075,
Chiquimula,Quezaltepeque,4626,3990,636,128,2.77,26382.34389,28131.51418,1753.445418,1418.338158,24445.19993,18.92396059,16.32222281,
Chiquimula,San Jacinto,741,342,399,80,10.85,12005.15648,13316.48818,617.2347699,256.8244687,7074.019973,10.47494922,4.834591948,
Chiquimula,Ipala,242,258,-16,-3,-1.31,19851.25876,20365.37681,121.9066272,126.685601,22998.37026,1.052248473,1.12181862,
El Progreso,Guastatoya,712,850,-138,-27,-3.73,21724.41886,24724.39299,327.7417935,343.7900378,21779.38133,3.269147039,3.902773853,
El Progreso,Morazán,10295,9413,882,158,1.53,11751.22657,12760.82047,8760.787597,7376.48494,34718.59101,29.65270105,27.11227538,
El Progreso,San Agustín Acasaguastlán,17383,17852,-469,-88,-0.51,38754.74722,43167.091,4485.385984,4135.557803,42566.92652,40.83686895,41.93866332,
El Progreso,San Cristóbal Acasaguastlán,4246,4710,-464,-94,-2.21,6807.131246,7512.026433,6237.576222,6269.945989,16448.68739,25.81360993,28.63450371,
El Progreso,El Jícaro,270,639,-368,-75,-27.78,10813.20849,11302.10378,249.6946215,565.3814657,11437.42532,2.360671152,5.586921726,
El Progreso,Sanarate,1601,1182,420,72,4.48,11482.22139,12402.84709,1394.3295,953.0069925,27390.40792,5.845111927,4.315379324,
El Progreso,Sansare,1169,751,418,79,6.74,37114.7156,41241.08092,314.969408,182.0999798,14389.33559,8.124072116,5.219142993,
El Progreso,San Antonio La Paz,1691,1436,255,43,2.57,17148.33063,19135.11726,986.1018173,750.4526785,14725.11375,11.48378226,9.752046909,
Escuintla,Escuintla,7100,8246,-1146,-195,-2.74,147617.3137,163494.806,480.9733914,504.3585298,54615.0133,13.00008838,15.09841251,
Escuintla,Santa Lucía Cotzumalguapa,2953,6811,-3857,-655,-22.17,121651.0826,145065.3049,242.7434213,469.5126794,45457.13444,6.496229989,14.98334658,
Escuintla,La Democracia,342,716,-374,-64,-18.67,24226.2156,27854.79075,141.1693868,257.0473447,29063.35542,1.176739558,2.463583402,
Escuintla,Siquinalá,4735,5625,-890,-151,-3.19,21567.19194,26111.59585,2195.464302,2154.215328,18434.92356,25.68494513,30.51273841,
Escuintla,Masagua,332,652,-321,-55,-16.52,42745.38041,49273.71906,77.66921169,132.3220598,47325.04381,0.70153131,1.377706068,
Escuintla,Tiquisate,928,623,305,52,5.62,55469.49365,61489.27066,167.2991655,101.3184891,47154.30296,1.968007036,1.321194379,
Escuintla,La Gomera,191,590,-398,-68,-35.58,58272.51859,64061.04355,32.77702845,92.09965485,78604.03271,0.242990077,0.750597622,
Escuintla,Guanagazapa,2825,2603,222,38,1.35,16591.14765,18956.0807,1702.715243,1373.17415,22734.93314,12.42581178,11.44934091,
Escuintla,San José,371,581,-210,-36,-9.64,50250.4472,54919.38868,73.83018872,105.7914179,22011.10751,1.685512643,2.639576403,
Escuintla,Iztapa,770,692,78,12,1.49,11695.10408,11912.50557,658.3951667,580.902142,6516.037896,11.81699696,10.61995051,
Escuintla,Palín,3574,3037,537,91,2.55,56518.50298,70249.46208,632.3592826,432.3164776,11094.13001,32.21523451,27.37483694,
Escuintla,San Vicente Pacaya,6519,6205,314,54,0.82,16314.14519,18508.6071,3995.918833,3352.494311,14996.03668,43.4714861,41.37759952,
Escuintla,Nueva Concepción,811,919,-108,-18,-2.27,62911.55988,63802.76438,128.9111256,144.0376462,52406.70291,1.547511969,1.753592477,
Escuintla,Sipacate,2824,2135,689,118,4.17,-,-,-,-,-,-,-,
Guatemala,Guatemala,4084,4177,-93,-16,-0.39,988149.547,994340.6971,41.32977657,42.00773449,21471.72146,19.02036596,19.45349379,
Guatemala,Santa Catarina Pinula,3569,2886,683,117,3.27,85290.21984,98885.42712,418.4536054,291.8529134,6724.447092,53.07499563,42.91802673,
Guatemala,San José Pinula,9515,8897,618,104,1.09,67730.17458,81161.05288,1404.839137,1096.215449,19767.49758,48.13457021,45.00822608,
Guatemala,San José del Golfo,587,657,-70,-12,-2.04,5721.014746,6021.257168,1026.041753,1091.134263,7636.480836,7.686786788,8.603439386,
Guatemala,Palencia,5383,5332,51,9,0.16,58046.14962,64163.70382,927.3655592,830.9994097,21736.39322,24.7649182,24.53028865,
Guatemala,Chinautla,1772,1992,-220,-38,-2.12,121306.3127,137209.882,146.0764869,145.1790477,6695.768788,26.46447415,29.75013121,
Guatemala,San Pedro Ayampuc,1553,1459,94,16,1.03,67728.17457,83041.32996,229.2989601,175.6956447,10666.72101,14.55930083,13.67805532,
Guatemala,Mixco,3207,2808,399,68,2.13,474421.2229,498211.4222,67.59815635,56.36161426,9020.686952,35.55161616,31.12844969,
Guatemala,San Pedro Sacatepéquez,1333,1157,175,30,2.25,40059.10326,45290.50323,332.7583225,255.461944,2884.428982,46.21365297,40.11192534,
Guatemala,San Juan Sacatepéquez,8991,7746,1245,213,2.37,208034.5362,242394,432.1878551,319.5623654,27256.4265,32.98671599,28.41898588,
Guatemala,San Raimundo,2141,2142,0,0,0,28756.07412,32510.91703,744.5383507,658.8556079,12481.22604,17.15376352,17.16177556,
Guatemala,Chuarrancho,1189,562,626,107,9.01,12462.03212,13875.1975,954.0980061,405.0392797,11780.40901,10.09302817,4.770632323,
Guatemala,Fraijanes,3145,3131,14,2,0.08,42607.10982,50292.14931,738.1397173,622.5623767,11499.60351,27.348769,27.22702567,
